,Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate,labels
91,Sidhu Moose Wala - Kala Chashma - Skit.mp3,1.6229835,0.40238243,0.5446847,0.2707602562,4.088237,-18.195917,1778.574868,1579.728859,19.26271833,2974.994044,0.005044125344,0.05166267935,0
92,Sidhu Moose Wala - Outlaw.mp3,1.4209827,0.40162036,0.33818942,0.2104943939,19.266562,3.5364416,2184.418086,2791.181783,20.854729,4800.422636,-0.08460475884,0.03998152509,0
93,Sidhu Moose Wala - Outro.mp3,1.6391695,0.4200317,0.5489863,0.2718952603,4.0345125,-18.050272,1830.888592,1574.047823,19.28206845,2993.040769,0.00126869573,0.05462650562,0
94,Sidhu Moose Wala - Selfmade.mp3,1.5269009,0.40654406,0.42310327,0.2347784923,14.515007,1.6834134,2057.027973,2528.83836,20.96662734,4184.577841,0.05515543511,0.03893604263,0
95,Sidhu Moose Wala - So High.mp3,1.5795807,0.42848212,0.548809,0.2638275464,11.240039,-0.6894034,2401.245165,2736.69779,20.7867178,5060.750173,-0.01728444181,0.04780407661,0
96,Sidhu Moose Wala - Tochan.mp3,1.5468451,0.4041446,0.48817247,0.2513423498,10.420524,0.080794595,2862.813402,3142.996591,20.93958484,5918.751429,0.04090854855,0.05963473687,0
97,Sidhu Moose Wala - Trend.mp3,1.7052603,0.45318916,0.49441326,0.2506005361,12.886935,1.1480359,3546.475842,3455.014903,20.88442451,7546.599058,0.02809088957,0.07813193237,0
98,Wizard - Drop Low.mp3,1.5492042,0.50881803,0.54598945,0.2553679716,11.012071,4.139767,2726.603409,3252.627672,18.98521241,6030.261455,0.01077579735,0.05092848327,0
99,Zack Knight - Bom Diggy.mp3,1.5616455,0.4591109,0.5156205,0.2546140609,13.189341,3.6862423,3645.033224,3838.220968,20.48931595,8019.921875,0.01243122006,0.07853838642,0
100,Ghulam Ali - Chupke Chupke Raat Din.mp3,1.3904966,0.3907861,0.40560558,0.2376388036,4.619595,2.1319134,2464.638005,3102.438285,20.76884808,5232.330663,-0.009787139955,0.0486472952,1
101,Ghulam Ali - Hangama Hai Kiu Barbad.mp3,1.4003302,0.33427158,0.40649873,0.2321690829,0.7870497,-6.2536626,1525.353056,1627.181268,20.74299666,2942.458654,0.0345981608,0.0359849897,1
102,Ghulam Ali - Koi Raat Aisi Bhi Aaye.mp3,1.3462211,0.3489703,0.34539828,0.2158343311,2.038067,-2.8217227,2086.692093,2413.112463,21.36791319,4238.609213,-0.05742615165,0.05052980612,1
103,Ghulam Ali - Woh Nahi Mera Magar - Duet.mp3,1.3074688,0.36094645,0.3623273,0.2216047565,7.1338973,0.31118536,2240.599449,2862.29545,21.55681499,4985.718285,0.01466217058,0.03817652791,1
